,word,count
495,கதை,1
496,தோரண,1
497,அடைந்ததையும்,1
498,மருத்துவச்சிகள்.,1
499,ராசியில்,1
500,அமைத்தான்.,1
501,அறிஞர்களுக்கும்,1
502,வேள்வித்தூணில்,1
503,ஹோதாக்களும்,1
504,மழை,1
505,இடியொலியுடன்,1
506,உறிக்குடிலைக்,1
507,கிராமத்தை,1
508,அடையாளம்,1
509,பரவிச்,1
510,பிறந்தவன்.,1
511,"சொல்லவில்லை…ஆஸ்திகரே,",1
512,கனவும்,1
513,அதுவன்றி,1
514,முதல்நாகத்தின்,1
515,சுவர்களும்,1
516,கசப்பும்,1
517,கடித்த,1
518,கரையில்,1
519,உணர்ந்தபின்பு,1
520,செய்தவனாவேன்”,1
521,அவற்றிலேயே,1
522,போகிறான்,1
523,நெடுந்தவ,1
524,சொல்லியிருந்தார்.,1
525,குறியை,1
526,கோட்டைக்கதவுகள்,1
527,அவனுக்கு,1
528,ஏந்த,1
529,குவியல்களைக்,1
530,நிகழவேண்டிய,1
531,சிறுவர்களாக,1
532,கையிலிருந்த,1
533,சுற்றப்பட்ட,1
534,பொற்செங்கோலை,1
535,ஒலியில்,1
536,கேட்டுக்கொண்டிருந்தன.,1
537,தட்சனை..எங்கே,1
538,குட்டியை,1
539,ஞானம்,1
540,அகங்காரமாக,1
541,ஓசையிட்டு,1
542,ஈடுபாடுகொண்டவனாக,1
543,செய்யவேண்டுமென்று,1
544,இளவரசனாக,1
545,பட்டம்சூட்டி,1
546,வருவதைக்,1
547,பார்த்தேயாகவேண்டிய,1
548,எவருமே,1
549,மூதாதையரனைவரும்,1
550,.காமமும்,1
551,உக்ரசேனனும்,1
552,காய்களின்,1
553,ஓங்கியறைந்தான்.,1
554,தலைமை,1
555,வேள்விக்குளத்தை,1
556, வைசம்பாயனர்,1
557,பெற்றுக்கொள்ளுங்கள்”,1
558,குருஷேத்ர,1
559,வியாசவனத்துக்குள்,1
560,முளைத்தெழுந்து,1
561,மேல்பகுதியை,1
562,நிகரற்ற,1
563,தங்கினான்.,1
564,மாமன்னன்,1
565,அலங்கரித்துக்கொண்ட,1
566,உருட்டிக்கொண்டிருந்தான்.,1
567,சரிந்து,1
568,கடித்ததா?’,1
569,வயதிருக்கையில்,1
570,மகாபிரஸ்தானம்,1
571,பிடித்து,1
572,பரீட்சித்தால்,1
573,[பெரிதாகப்,1
574,அகங்காரத்தையே,1
575,உயிருக்கும்,1
576,அளித்தார்.,1
577,செந்நிறக்,1
578,முள்ரோமக்,1
579,ஏறிப்பின்னிய,1
580,சிம்மாசனத்தின்,1
581,வந்ததுமே,1
582,அழிக்க,1
583,நிலையிலேயே,1
584,செய்வாயாக.,1
585,கோடி,1
586,‘அளி’,1
587,கிராமங்களில்,1
588,பகுக்கப்பட்டிருந்தது.,1
589,மன்னனானபோது,1
590,உறவான,1
591,மன்னர்களின்,1
592,மீட்டு,1
593,ஒன்றுகூட,1
594,உறைந்து,1
595,சொல்லவிரும்புகிறேன்,1
596,பெருமுரசம்,1
597,செம்மணிக்கண்கள்,1
598,சிம்மாசனத்தில்,1
599,தளகர்த்தர்,1
600,கூப்பினார்,1
601,விண்ணக,1
602,சரி”,1
603,முடிந்தபின்னர்,1
604,மறைந்தனர்.,1
605,கிழக்கு,1
606,குணமுள்ள,1
607,ஈன்றாள்.,1
608,தேவை?’,1
609,சென்றுசேர்வதாக”,1
610,சாமரவாலைச்,1
611,தூக்கமின்றி,1
612,பேதைப்பெண்ணாக,1
613,நின்றாள்.,1
614,காலையில்,1
615,அமைதிசெய்யும்,1
616,உயிரைக்,1
617,காணிக்கையும்,1
618,செய்யமாட்டேன்…உங்களுக்கு,1
619,"மைந்தர்,",1
620,பெருந்தவத்தாளான,1
621,செந்நாக்கு,1
622,முடியாது’,1
623,பார்த்திருந்தாள்.,1
624,கட்டப்பட்டிருந்த,1
625,‘மாமுனிவரே….என்ன,1
626,அன்றிரவெல்லாம்,1
627,அழிக்கப்பார்த்தாள்.,1
628,அன்னையிடமிருந்து,1
629,விரிந்திருந்த,1
630,புழுவாகக்,1
631,சொன்னான்,1
632,நடந்த,1
633,வேள்விச்சடங்குகள்,1
634,சமித்துகள்,1
635,ஆகுதியாக,1
636,குத்த,1
637,முழங்கியது.,1
638,தேசத்தைக்,1
639,தலைமுறையெல்லாம்,1
640,அகலை,1
641,வருடிக்கொண்டு,1
642,மண்ணும்,1
643,"விரித்து,",1
644,கோயில்மண்டபங்களிலும்,1
645,மாளிகைகள்,1
646,வீட்டுத்திண்ணைகளில்,1
647,மூடியிலிருந்த,1
648,வயது.,1
649,உதடுகளன்றி,1
650,ஒளியைக்,1
651,அழிக்கவேண்டும்.,1
652,அதற்காகவே,1
653,ஓடைநீர்,1
654,ஒற்றைக்காலடி,1
655,எஞ்சியிருந்த,1
656,திருவிழா,1
657,தவிர,1
658,மட்கிக்கொண்டிருக்கும்,1
659,விழைவு,1
660,"ஜகல்கௌரி,",1
661,விரியத்,1
662,அரண்மனைமுகடு,1
663,பூரண,1
664,முத்தமிட்டபின்னர்,1
665,கழித்த,1
666,அரண்மனையெங்கும்,1
667,சொல்லிவிட்டுச்,1
668,அவனுக்குப்பின்னால்,1
669,"அஸ்வத்தாமா,",1
670,பெறவேண்டுமா?’,1
671,பார்த்துக்கொண்டிருந்தன.,1
672,படிகளில்,1
673,உபவனத்தில்,1
674,வழியாகவும்,1
675,வந்துகொண்டிருந்தன.,1
676,ஆடு,1
677,சாலமரம்,1
678,மருத்துவச்சி,1
679,நிமித்திகர்,1
680,"கேளாமால்,",1
681,கொன்று,1
682,நிழலை,1
683,பீமனும்,1
684,செங்கோலைக்கொண்டுவந்து,1
685,கூரையெங்கும்,1
686,நீள்வதுபோல,1
687,சாபமிட்டால்,1
688,நீந்தி,1
689,அதைத்துறந்து,1
690,சீடர்களும்,1
691,தொடங்குக!”,1
692,ஓங்கிய,1
693,இருந்துகொண்டிருக்கும்,1
694,ஆஸ்திகன்”,1
695,சின்னத்தைத்,1
696,சொன்னபின்பு,1
697,சிறிதாக,1
698,கனவுக்குள்,1
699,சமவெளியையும்,1
700,வகுத்த,1
701,அகங்காரத்தின்,1
702,திரட்டி,1
703,நம்பிக்கைத்துரோகம்….,1
704,புராணமாக,1
705,மீன்கணங்கள்,1
706,"கொடையால்,",1
707,முடிவுற்ற,1
708,மண்டைஓடு,1
709,கழுத்திலும்,1
710,காவியத்தைப்,1
711,நாகப்பாம்பின்,1
712,‘இருக்கிறேன்’,1
713,இருந்துதான்,1
714,கல்லுடல்,1
715,மத்தகங்களைத்,1
716,வாயுடன்,1
717,மெல்லத்தூக்கி,1
718,சோதனையாலேயே,1
719,இதைத்தான்,1
720,என்னசெய்வதென்று,1
721,செத்து,1
722,மூதாதையர்களே,1
723,மணிமுடி,1
724,மூச்சொலிகள்,1
725,கழுகுகளும்,1
726,இளஞ்சூரிய,1
727,காத்திருக்கிறது”,1
728,இவ்வுலகையே,1
729,கால்களைத்,1
730,உரக்கச்சிரித்து,1
731,போலி,1
732,தங்கியிருந்த,1
733,நிம்மதியுடன்,1
734,இறந்துபோனாள்.,1
735,கருநாகங்களாலான,1
736,கதையைக்கேட்டு,1
737,மிச்சமில்லாமல்,1
738,வனலீலைக்குச்,1
739,முழுமைசெய்யவேண்டும்”,1
740,தன்னையே,1
741,கட்டப்பட்டு,1
742,முந்தைய,1
743,தாய்மையின்,1
744,இப்படி,1
745,வாயால்,1
746,இக்‌ஷுவாகு,1
747,அலையடித்தன.,1
748,அக்குழந்தைதான்,1
749,பணியை,1
750,காணமுடிந்தது.,1
751,நால்வருணத்து,1
752,இன்றியமையாதவையுமான,1
753,படபடத்தது.,1
754,அதிர்ந்தடங்கின.,1
755,சொட்டவேண்டிய,1
756,சமுத்திரத்தின்,1
757,வென்றவர்,1
758,உள்நோக்கிச்,1
759,நாகங்களும்,1
760,வம்சத்தை,1
761,இறப்பாய்’,1
762,சகடம்,1
763,சுடர்விட்டுக்கொண்டிருந்தது.,1
764,அரண்மனைக்குச்,1
765,அரச,1
766,அமைச்சர்களிடம்,1
767,உள்ளங்கள்,1
768,சர்பசத்ரவேள்விப்பந்தலில்,1
769,பெற்றிட்டது,1
770,கண்களால்,1
771,காட்டுக்குள்,1
772,வேதகோஷமும்,1
773,பிரம்மத்தை,1
774,தூய்மையாகிவிட்டன.,1
775,மின்னல்கள்,1
776,அத்திமரத்திலே,1
777,“நீரெனில்,1
778,சூழ்ந்து,1
779,எதையும்,1
780,தவச்சாலையை,1
781,தன்னைக்,1
782,யோகானுஷ்டானங்கள்,1
783,அரங்கெங்கும்,1
784,அவிஸாக்குவோம்!”,1
785,சபைக்குச்,1
786,விந்துக்களின்,1
787,பொன்னும்,1
788,சொல்லிக்கொண்டு,1
789,வந்ததும்,1
790,கண்டுகொண்டேன்.,1
791,அச்சுவடியை,1
792,இறையெனில்,1
793,வைத்திருந்தேன்.,1
794,மகனை,1
795,நகருக்கு,1
796,ஏணியும்,1
797,முனிகுமாரர்களாக,1
798,பரீட்சித்திடம்,1
799,சுருதசேனனிடம்,1
800,உடலும்,1
801,“சக்கரவர்த்திக்கு,1
802,அணுகும்,1
803,ஆரம்பித்தனர்.,1
804,மொத்தத்,1
805,பாம்புகளாகியது.,1
806,ஏதோ,1
807,சொல்லவருகையில்,1
808,“சக்ரவர்த்தி…இந்திரன்,1
809,சொல்வது,1
810,கூச்சலிட்டு,1
811,அடர்கானகத்தில்,1
812,நா,1
813,ஆணையின்படி,1
814,பெருமரம்போல,1
815,கொண்டன.,1
816,நிறைந்திருந்தனர்.,1
817,ஈச்சைஓலைகளால்,1
818,வரைபடத்தின்,1
819,"இளமைப்பருவத்தையும்,",1
820,காட்டுக்குச்சென்ற,1
821,அழைத்த,1
822,அந்தக்குட்டி.,1
823,உணர்ந்துகொண்டே,1
824,செந்தழல்,1
825,அக்கினிக்கு,1
826,மரணமுனையில்,1
827,”என்,1
828,தெறித்தபின்,1
829,வியாசரை.,1
830,கழித்துத்தான்,1
831,அடையமுயன்றார்.,1
832,"சுழற்றி,",1
833,ஆசீர்வதித்தார்.,1
834,“வைசம்பாயனரே”,1
835,சுற்றிலுமிருந்த,1
836,வளர்ந்ததும்,1
837,‘உங்கள்,1
838,குடுமியும்,1
839,ஊரிலிருந்தும்,1
840,இருந்ததில்லை.,1
841,பச்சோந்திக்கால்கள்,1
842,துயரமெல்லாம்,1
843,"ஜனமேஜயன்,",1
844,உயிரைக்கொடுத்து,1
845,அறியாதவற்றிலும்,1
846,ஏந்திக்கொண்டார்.,1
847,உணர்ந்தனர்.,1
848,மீனின்,1
849,ஒற்றைக்கொம்புள்ள,1
850,இருந்துகொண்டிருந்தார்.,1
851,பிள்ளைகள்…,1
852,இன்பமும்,1
853,“எந்தப்,1
854,சென்றுகொண்டே,1
855,தூங்கிக்கொண்டிருக்கும்,1
856,அறிமுகம்,1
857,பொன்னிறத்தில்,1
858,துவர்ப்பும்,1
859,ஒருமுறைகூட,1
860,உருவம்,1
861,மண்ணின்,1
862,நிழலைக்காணும்படி,1
863,தன்குலத்து,1
864,இருக்காது,1
865,ஏதாவது,1
866,தழைத்திருந்தது.,1
867,சிற்றோடைகள்,1
868,அதிகாரம்,1
869,கொடுத்தார்.,1
870,குத்தியது.,1
871,மென்மணல்,1
872,தோல்மூடிய,1
873,நிகழ்த்திக்கொண்டது.,1
874,எங்கும்,1
875,சுண்ணம்சேர்த்துக்கட்டிய,1
876,அறியாமையை,1
877,எங்கோ,1
878,அழைத்தனர்.,1
879,பிறந்தவன்,1
880,வெள்ளெலும்புக்,1
881,தட்சனுடையவை.,1
882,‘எனக்கு,1
883,ஐம்பத்தோராவது,1
884,பாடக்கேட்டான்.,1
885,கேட்டான்,1
886,கண்ணில்,1
887,வாழ்த்தொலிகளும்,1
888,நீலத்தழல்பீடம்,1
889,வெறுப்புடன்,1
890,அவரைத்,1
891,அச்சொல்லே,1
892,நினைத்தேன்.,1
893,சொல்கிறார்?,1
894,அடிமரத்தை,1
895,நாகமென்று,1
896,ஆண்டுகளாக,1
897,உருவாக்க,1
898,இழுக்கும்,1
899,பெண்கள்.,1
